row,pot,mass,ber,eaten,mold,unsure,date,sug_1,sug_2
D,2,113.60,N,N,N,N,28-Dec,,
D,2,113.10,N,N,N,N,15-Dec,,
D,2,112.90,N,N,N,N,15-Dec,,
D,1,112.40,Y,N,N,N,24-Oct,,
D,2,112.00,N,N,N,N,8-Dec,,
D,2,111.80,N,N,N,N,25-Dec,,
D,1,111.70,N,N,N,N,28-Dec,,
D,5,111.50,N,N,N,N,8-Nov,8.1,6.9
D,3,111.20,N,N,N,N,14-Nov,6.1,6.1
D,7,111.10,N,N,N,N,25-Dec,,
D,1,109.40,N,N,N,N,25-Dec,,
D,4,109.30,N,N,N,N,11-Nov,5.9,6
D,2,109.00,N,N,N,N,25-Dec,,
D,5,108.80,Y,N,N,N,10-Dec,,
D,6,108.70,N,N,N,N,29-Nov,7.7,7.6
D,8,108.70,Y,N,N,N,10-Dec,,
D,8,108.50,N,N,N,N,10-Dec,,
D,7,108.40,N,N,N,N,10-Nov,6,6.3
D,5,108.40,N,N,N,N,14-Nov,7,7
D,7,107.80,N,N,N,N,14-Nov,6.8,6.9
D,6,107.80,N,N,N,N,25-Dec,,
D,3,107.70,N,N,N,N,4-Nov,6.7,6.5
D,8,107.20,N,N,N,N,25-Dec,,
D,4,107.10,Y,N,Y,N,15-Dec,,
D,1,106.50,N,N,N,N,25-Dec,,
D,7,106.10,Y,N,N,N,20-Oct,,
D,4,105.80,N,N,N,N,15-Dec,,
D,7,105.60,N,N,N,N,14-Nov,6.2,6.5
D,1,104.80,N,N,N,N,7-Nov,7.8,7.6
D,1,104.50,Y,N,N,N,24-Oct,,
D,4,103.50,N,N,N,N,30-Nov,7.6,6.4
D,4,103.50,N,N,Y,N,25-Dec,,
D,6,103.40,N,N,N,N,25-Dec,,
D,5,102.80,Y,N,N,N,20-Oct,,
D,8,102.50,Y,N,N,N,2-Dec,,
D,1,102.10,N,N,N,N,15-Dec,,
D,4,101.80,N,Y,Y,N,5-Dec,,
D,3,101.50,N,N,N,N,8-Nov,7.1,6.9
D,2,100.70,N,N,N,N,25-Dec,,
D,8,99.50,N,N,N,N,30-Nov,8.4,7.3
D,4,99.40,Y,N,N,N,10-Dec,,
D,8,99.00,Y,N,N,N,15-Dec,,
D,2,98.90,N,N,N,N,25-Dec,,
D,8,98.70,N,N,N,N,15-Dec,,
D,1,98.40,N,N,N,N,25-Dec,,
D,8,98.20,N,N,N,N,25-Dec,,
D,8,97.50,N,N,N,N,8-Dec,,
D,8,96.90,N,N,N,N,25-Dec,,
D,8,96.50,N,N,N,N,14-Nov,5.8,6.1
D,8,96.40,N,N,N,N,30-Nov,7.2,6.9
D,7,96.20,N,N,N,N,25-Dec,,
D,5,95.70,Y,N,N,N,18-Nov,,
D,1,95.50,Y,N,N,Y,20-Oct,,
D,4,95.00,N,N,N,N,25-Dec,,
D,4,93.40,N,N,N,N,8-Dec,,
D,3,92.50,N,N,N,N,10-Nov,5.4,4.9
D,7,92.00,N,N,Y,N,26-Nov,6.7,7
D,5,90.90,N,N,N,Y,14-Nov,3.9,6.2
D,7,90.90,N,N,N,N,25-Dec,,
D,2,90.80,Y,N,N,N,4-Nov,,
D,5,90.80,N,N,N,N,8-Nov,8.4,8.8
D,7,90.80,Y,N,N,N,18-Nov,,
D,1,90.40,N,N,N,N,3-Nov,7.2,7.6
D,2,90.00,N,N,N,N,28-Dec,,
D,8,89.90,N,N,N,N,15-Dec,,
D,3,89.40,Y,N,N,N,24-Oct,,
D,8,89.00,N,N,N,N,25-Dec,,
D,1,88.80,N,N,N,N,25-Dec,,
D,6,88.50,N,N,N,N,8-Dec,,
D,2,88.50,N,N,N,N,25-Dec,,
D,4,88.10,N,N,N,N,28-Dec,,
D,8,87.30,Y,N,N,N,15-Dec,,
D,4,86.30,N,N,N,N,30-Nov,5.2,5.4
D,2,86.10,N,N,N,N,8-Nov,7.9,6.7
D,8,86.00,Y,N,N,N,2-Dec,,
D,1,85.70,Y,N,N,N,24-Oct,,
D,8,85.70,N,N,N,N,28-Dec,,
D,7,85.60,Y,N,N,N,25-Oct,,
D,8,85.60,N,N,N,N,28-Dec,,
D,3,85.40,Y,N,N,N,24-Oct,,
D,8,85.20,N,N,N,N,8-Dec,,
D,6,85.00,N,N,N,N,25-Dec,,
D,4,84.80,N,N,N,N,25-Dec,,
D,6,84.70,N,N,N,N,25-Dec,,
D,7,84.50,Y,N,N,N,28-Oct,,
D,8,84.40,N,N,N,N,5-Dec,,
D,3,84.20,N,N,N,N,30-Nov,4.9,4.1
D,4,83.90,N,N,N,N,25-Dec,,
D,8,83.20,Y,N,N,N,15-Dec,,
D,1,82.90,Y,N,N,N,20-Oct,,
D,1,82.90,Y,N,N,N,4-Nov,,
D,5,82.80,N,N,N,N,14-Nov,5.7,6
D,4,82.70,N,N,N,N,15-Dec,,
D,6,82.10,N,N,N,N,25-Dec,,
D,5,82.10,N,N,N,N,25-Dec,,
D,2,82.00,N,N,N,N,25-Dec,,
D,8,81.90,N,N,N,N,25-Dec,,
D,6,81.40,N,N,Y,N,25-Dec,,
D,4,81.40,N,N,N,N,25-Dec,,
D,8,81.30,y,N,N,N,18-Nov,,
D,4,81.20,N,N,N,N,25-Dec,,
D,4,80.90,Y,N,N,N,2-Dec,,
D,5,80.70,Y,N,N,N,28-Oct,,
D,8,80.70,N,N,N,N,25-Dec,,
D,1,80.70,N,N,N,N,25-Dec,,
D,5,79.30,N,N,N,N,25-Dec,,
D,8,78.90,N,N,N,N,25-Dec,,
D,5,78.80,N,N,N,N,25-Dec,,
D,1,78.40,N,N,N,N,25-Dec,,
D,5,78.20,N,N,N,N,25-Dec,,
D,6,77.30,N,N,N,N,15-Dec,,
D,5,77.20,Y,N,N,N,24-Oct,,
D,5,77.00,N,N,N,N,25-Dec,,
D,8,75.90,N,N,N,N,28-Dec,,
D,1,75.80,N,N,N,N,28-Dec,,
D,4,75.40,Y,N,N,N,18-Nov,,
D,5,75.00,Y,N,N,N,20-Oct,,
D,1,75.00,Y,N,N,N,20-Oct,,
D,5,74.80,Y,N,N,N,2-Dec,,
D,5,74.00,N,N,N,N,14-Nov,5.9,5.6
D,8,73.90,N,N,N,N,3-Nov,6.8,6.5
D,8,73.90,N,N,N,N,25-Dec,,
D,1,73.80,N,N,N,N,25-Dec,,
D,1,73.70,N,N,N,N,25-Dec,,
D,5,73.50,N,N,N,N,25-Dec,,
D,4,73.30,N,N,N,N,10-Nov,6.3,5.9
D,6,73.10,N,N,N,N,25-Dec,,
D,8,71.70,Y,N,N,N,2-Dec,,
D,2,71.60,N,N,N,N,8-Nov,7.5,7
D,8,71.20,N,N,N,N,8-Dec,,
D,1,71.00,Y,N,N,N,20-Oct,,
D,5,71.00,N,N,N,N,25-Dec,,
D,3,70.90,Y,N,N,N,28-Oct,,
D,8,70.80,N,N,N,N,25-Dec,,
D,3,70.50,N,N,Y,N,2-Dec,7.5,
D,5,70.50,N,N,N,N,15-Dec,,
D,6,70.20,N,N,N,N,26-Nov,6.1,6
D,3,70.10,Y,N,N,N,10-Nov,,
D,1,70.00,Y,N,N,N,20-Oct,,
D,5,70.00,N,N,Y,N,25-Dec,,
D,5,69.60,N,N,N,N,28-Dec,,
D,5,69.50,N,N,N,N,25-Dec,,
D,7,69.50,N,N,N,N,25-Dec,,
D,1,69.30,Y,N,N,N,15-Dec,,
D,2,69.20,N,N,N,N,25-Dec,,
D,2,69.00,N,N,N,N,25-Dec,,
D,6,68.70,N,N,N,N,25-Dec,,
D,4,68.60,N,N,N,N,25-Dec,,
D,5,67.90,N,N,N,N,25-Dec,,
D,7,67.90,N,N,N,N,28-Dec,,
D,2,67.00,N,N,N,N,8-Nov,8.6,8.2
D,3,66.90,Y,N,N,N,2-Dec,,
D,3,66.30,Y,N,Y,N,8-Nov,,
D,1,66.30,N,N,N,N,25-Dec,,
D,8,66.10,N,N,N,N,28-Dec,,
D,1,65.90,N,N,N,N,29-Nov,8.1,7.4
D,2,65.30,N,N,N,N,8-Dec,,
D,8,65.20,N,N,N,N,15-Dec,,
D,3,64.80,N,N,N,N,14-Nov,5.8,5.5
D,1,64.80,N,N,N,N,28-Dec,,
D,8,64.70,N,N,N,N,28-Dec,,
D,1,64.40,N,N,N,N,26-Nov,7.8,7.8
D,5,63.80,N,N,N,N,25-Dec,,
D,7,63.50,N,N,Y,N,5-Dec,,
D,8,63.40,N,N,N,N,25-Dec,,
D,4,63.20,N,N,N,N,25-Dec,,
D,4,63.20,N,N,N,N,25-Dec,,
D,7,63.00,N,N,N,N,28-Dec,,
D,1,62.70,Y,N,N,N,20-Oct,,
D,5,62.70,N,N,N,N,11-Nov,7.9,7.9
D,1,62.60,Y,N,N,N,28-Dec,,
D,5,62.30,N,N,N,N,25-Dec,,
D,2,62.30,N,N,N,N,25-Dec,,
D,5,62.20,Y,N,N,N,20-Oct,,
D,2,61.60,N,N,N,N,25-Dec,,
D,4,61.40,N,N,N,N,25-Dec,,
D,4,61.30,N,N,N,N,25-Dec,,
D,1,61.20,Y,N,N,N,1-Nov,,
D,1,61.00,N,N,N,N,25-Dec,,
D,7,60.90,N,N,N,N,28-Dec,,
D,4,60.70,N,N,N,N,28-Dec,,
D,5,59.70,Y,N,N,N,18-Nov,,
D,7,59.20,Y,N,N,N,29-Nov,,
D,4,58.70,N,N,N,N,25-Dec,,
D,7,58.30,Y,N,N,N,30-Nov,,
D,6,58.30,N,N,N,N,25-Dec,,
D,1,58.20,N,N,N,N,28-Dec,,
D,4,58.00,N,N,N,N,25-Dec,,
D,2,57.80,N,N,N,N,15-Dec,,
D,1,57.30,Y,N,N,N,4-Nov,,
D,4,57.10,N,N,N,N,15-Dec,,
D,7,56.90,N,N,N,N,11-Nov,6.6,6.6
D,1,55.90,N,N,N,N,25-Dec,,
D,5,55.60,N,N,N,N,14-Nov,6.1,6.4
D,5,55.20,N,N,N,N,25-Dec,,
D,7,55.10,N,N,N,N,28-Dec,,
D,5,55.00,N,N,N,N,2-Dec,8.6,9.2
D,3,54.90,Y,N,N,N,2-Dec,,
D,1,54.60,N,N,N,N,28-Dec,,
D,5,53.50,N,N,N,N,25-Dec,,
D,7,53.20,N,N,N,N,25-Dec,,
D,1,51.70,Y,N,N,N,28-Oct,,
D,8,51.50,N,N,N,N,25-Dec,,
D,1,50.80,Y,N,N,N,28-Oct,,
D,5,50.80,N,N,N,N,25-Dec,,
D,8,50.50,N,N,N,N,28-Dec,,
D,1,50.20,N,N,N,N,28-Dec,,
D,1,49.00,N,N,N,N,28-Dec,,
D,6,48.70,N,N,N,N,28-Dec,,
D,3,48.20,N,N,N,N,14-Nov,7.9,7.1
D,4,48.20,N,N,N,N,25-Dec,,
D,4,48.10,Y,N,N,N,11-Nov,,
D,5,47.90,N,N,N,N,25-Dec,,
D,5,47.70,N,N,N,N,25-Dec,,
D,3,47.60,N,N,N,N,25-Dec,,
D,1,47.50,N,N,N,N,28-Dec,,
D,8,47.20,N,N,N,N,25-Dec,,
D,1,46.50,N,N,N,N,28-Dec,,
D,7,45.60,N,N,N,N,28-Dec,,
D,5,45.00,N,N,N,N,25-Dec,,
D,4,44.60,N,N,N,N,15-Dec,,
D,5,44.30,N,N,N,N,15-Dec,,
D,6,43.30,N,N,N,N,25-Dec,,
D,5,41.70,N,N,N,N,15-Dec,,
D,1,41.40,N,N,N,N,28-Dec,,
D,5,39.60,N,N,N,N,25-Dec,,
D,2,39.10,N,N,N,N,28-Dec,,
D,7,37.70,N,N,N,N,25-Dec,,
D,1,37.20,N,N,N,N,25-Dec,,
D,1,36.00,N,N,N,N,28-Dec,,
D,1,35.60,N,N,N,N,28-Dec,,
D,6,34.70,N,N,N,N,25-Dec,,
D,1,33.80,N,N,N,N,28-Dec,,
D,3,28.40,N,N,N,N,25-Dec,,
D,7,28.00,N,N,N,N,25-Dec,,
D,3,28.00,N,N,N,N,25-Dec,,
D,5,26.40,N,N,N,N,29-Nov,9.4,7.9
D,8,24.20,N,N,N,N,15-Dec,,
D,1,23.00,N,N,N,N,28-Dec,,
D,5,21.70,N,N,N,N,28-Dec,,
D,1,19.90,N,N,N,N,25-Dec,,
D,1,14.10,N,N,N,N,28-Dec,,
D,1,,Y,N,N,N,20-Oct,,
D,1,,Y,,N,Y,24-Oct,,
D,1,,Y,N,N,N,24-Oct,,
D,3,,Y,N,N,N,28-Oct,,
D,3,,Y,N,N,N,8-Nov,,
D,2,,N,N,N,N,8-Nov,,
D,2,,N,N,N,N,10-Nov,,
D,7,,Y,N,N,N,26-Nov,,
D,7,,Y,N,N,N,26-Nov,,
D,8,,Y,N,N,N,26-Nov,,
D,1,,Y,N,N,N,26-Nov,,
D,8,,Y,N,N,N,26-Nov,,
D,6,,N,N,Y,N,10-Dec,,
D,8,,N,N,N,N,25-Dec,,
D,1,,N,N,N,N,28-Dec,,
D,8,,N,N,N,N,28-Dec,,
D,6,,N,N,N,N,28-Dec,,
D,8,,N,N,N,N,28-Dec,,
D,8,,N,N,N,N,28-Dec,,
D,8,,N,N,N,N,28-Dec,,
C,5,146.50,N,N,N,N,30-Nov,5.8,5.3
C,5,369.70,N,N,N,N,3-Nov,5.3,5.8
C,1,332.20,N,N,N,N,28-Oct,5.6,5.3
C,5,312.40,N,N,N,N,1-Nov,5.5,5.8
C,1,284.70,N,N,N,N,3-Nov,6,5.4
C,3,284.30,N,N,N,N,24-Oct,4.9,4.9
C,8,280.30,N,N,N,N,8-Nov,6,5
C,2,267.30,N,N,N,N,7-Nov,5.4,5
C,2,239.80,N,N,N,N,25-Dec,,
C,6,237.10,N,N,N,N,7-Nov,4.9,5.1
C,5,217.50,N,N,N,N,1-Nov,5.7,6
C,5,217.10,N,Y,N,N,24-Oct,,
C,7,216.70,N,N,N,N,3-Nov,3.7,3.7
C,4,215.30,N,N,N,N,8-Nov,5.6,6
C,2,209.90,N,N,N,N,8-Nov,4.9,5.4
C,1,209.10,N,N,N,N,3-Nov,5.3,5.3
C,1,206.90,N,N,N,N,14-Nov,5.7,5.5
C,4,206.10,N,N,N,N,1-Nov,5.5,5.6
C,7,203.70,N,N,N,N,3-Nov,4.5,4
C,7,203.30,N,N,N,N,24-Oct,3.7,4.5
C,4,202.90,N,N,N,N,10-Nov,3.8,4.3
C,5,202.10,N,N,N,N,14-Nov,4,3.7
C,7,198.60,N,N,N,N,10-Nov,4.4,4.4
C,7,196.90,N,N,N,N,28-Dec,,
C,3,191.10,N,N,N,N,4-Nov,5.5,5.5
C,3,188.50,N,N,N,N,14-Nov,3.9,4.1
C,7,183.50,N,N,N,N,3-Nov,4.4,3.5
C,1,178.40,N,N,N,N,2-Dec,6.7,6.4
C,5,177.20,N,N,N,N,11-Nov,6,5.4
C,3,176.10,N,N,N,N,25-Dec,,
C,6,175.70,N,N,N,N,14-Nov,5.3,5
C,2,175.00,N,N,N,N,1-Nov,5.5,5.1
C,7,173.50,N,N,N,N,25-Dec,,
C,7,172.90,N,N,N,N,30-Nov,5.5,5.2
C,5,172.50,N,N,N,N,11-Nov,5.6,6
C,3,170.00,N,N,N,N,25-Dec,,
C,1,169.10,N,N,N,N,10-Nov,3.1,4.1
C,5,168.70,N,N,N,N,30-Nov,5.6,6.2
C,7,167.60,N,N,N,N,4-Nov,4,4.5
C,4,166.90,N,N,N,N,14-Nov,4.4,4.7
C,7,166.80,N,N,N,N,11-Nov,4.3,4.3
C,1,166.10,N,N,N,N,3-Nov,5.2,5.2
C,5,165.80,N,N,N,N,11-Nov,6,6.5
C,4,165.80,N,N,N,N,11-Nov,5.9,6.3
C,4,165.80,N,N,N,N,11-Nov,5.5,5.7
C,1,165.70,N,N,N,N,29-Nov,6.6,6.7
C,8,165.10,N,N,N,N,1-Nov,7.5,7.5
C,6,164.70,N,N,N,N,8-Dec,,
C,5,164.30,N,N,N,N,29-Nov,5.2,5.1
C,2,163.80,N,N,N,N,24-Oct,5.5,5.2
C,6,163.10,N,N,N,N,11-Nov,4.7,5.1
C,3,163.00,N,N,Y,N,5-Dec,,
C,1,162.40,N,N,N,N,26-Nov,6.4,7.3
C,7,161.30,N,N,N,N,28-Dec,,
C,3,161.20,N,N,N,N,14-Nov,3.6,3.6
C,6,160.70,Y,N,N,N,4-Nov,,
C,7,159.90,N,N,N,N,30-Nov,4.1,4.3
C,1,159.30,N,N,N,N,1-Nov,5.5,5.4
C,1,159.30,N,N,N,N,29-Nov,6.3,7.1
C,4,159.00,N,N,N,N,8-Nov,4.9,6
C,4,158.90,N,N,N,N,10-Nov,6,5.5
C,7,158.50,N,N,N,N,15-Dec,,
C,1,158.30,N,N,Y,N,14-Nov,6,6.1
C,5,156.70,N,N,Y,N,10-Dec,,
C,5,156.60,N,N,N,N,8-Nov,5.4,4.7
C,4,156.10,N,N,N,N,8-Nov,4.8,4.6
C,3,155.80,N,N,Y,N,5-Dec,,
C,3,155.20,N,N,N,N,29-Nov,6.4,
C,6,152.50,N,N,N,N,14-Nov,5.5,5.5
C,7,151.70,N,N,N,N,28-Dec,,
C,7,149.70,N,N,Y,N,14-Nov,2.3,4.4
C,3,149.50,N,N,N,N,5-Dec,,
C,2,147.80,N,N,N,N,14-Nov,5.9,5.8
C,7,147.80,N,N,N,N,25-Dec,,
C,5,147.50,Y,N,N,N,10-Nov,,
C,3,147.40,N,N,N,N,8-Dec,,
C,3,145.40,N,N,N,N,25-Dec,,
C,7,143.80,N,N,N,N,28-Dec,,
C,2,143.70,N,N,N,N,24-Oct,6,6.2
C,1,143.50,N,N,N,N,26-Nov,7.3,7.1
C,3,143.40,N,N,N,N,1-Nov,5.1,4.7
C,1,143.10,N,N,N,N,8-Nov,5.6,5.4
C,6,142.50,N,N,N,N,29-Nov,5.7,5.3
C,8,142.50,N,N,Y,N,2-Dec,6.6,6.8
C,5,142.20,N,N,Y,N,10-Dec,,
C,3,141.80,N,N,N,N,11-Nov,5.2,5
C,5,139.80,N,N,N,N,10-Dec,,
C,7,137.40,N,N,N,N,11-Nov,5.4,4.7
C,2,136.60,N,N,N,N,26-Nov,4.7,5
C,4,136.10,N,N,Y,N,8-Nov,5.4,5.5
C,2,135.20,N,N,Y,N,29-Nov,3.8,
C,7,134.00,N,N,N,N,14-Nov,3.5,4.6
C,7,133.90,N,N,N,N,30-Nov,4.3,4.3
C,7,130.00,N,N,N,N,7-Nov,4.5,4.2
C,3,129.00,N,N,N,N,26-Nov,6.2,5.7
C,5,128.20,N,N,N,N,25-Dec,,
C,2,126.90,N,N,N,N,29-Nov,4.8,4.3
C,4,126.70,N,N,Y,N,8-Nov,5.4,5.6
C,8,125.40,N,N,Y,N,30-Nov,6.5,6.9
C,4,125.10,N,N,N,N,4-Nov,5.7,5.6
C,3,124.90,N,N,N,N,25-Dec,,
C,5,124.10,N,N,N,N,25-Dec,,
C,5,123.80,N,N,N,N,30-Nov,6.6,6.7
C,3,123.60,N,N,N,N,28-Dec,,
C,4,122.10,N,N,N,N,26-Nov,6.8,6.6
C,1,121.40,N,N,N,N,14-Nov,6.1,6.1
C,4,121.30,N,N,N,N,10-Nov,4.1,4.3
C,3,121.20,N,N,N,N,5-Dec,,
C,8,121.10,N,N,N,N,10-Nov,4.9,5.1
C,8,121.10,N,N,N,N,11-Nov,7.3,7.5
C,7,120.70,N,Y,Y,N,5-Dec,,
C,7,119.80,N,N,N,N,14-Nov,3,2.9
C,2,119.50,N,N,N,N,18-Nov,4,4.8
C,1,119.20,N,N,N,N,28-Dec,,
C,3,119.00,N,N,N,N,25-Dec,,
C,4,118.00,Y,N,N,N,20-Oct,,
C,2,116.90,N,N,N,N,28-Oct,6,6.1
C,4,116.50,N,N,N,N,8-Nov,6,6
C,4,116.00,N,N,N,N,14-Nov,4.4,4
C,1,115.70,N,N,N,N,15-Dec,,
C,8,115.40,Y,N,N,N,24-Oct,,
C,7,114.40,N,N,N,N,7-Nov,4.4,4.4
C,4,114.20,N,N,N,N,25-Dec,,
C,8,113.10,N,N,N,N,8-Nov,7,6.9
C,2,112.40,N,N,N,N,10-Nov,7.1,6.8
C,2,111.80,N,N,N,N,25-Dec,,
C,1,111.40,N,N,Y,N,15-Dec,,
C,5,110.70,N,N,Y,N,10-Dec,,
C,4,110.50,N,N,N,N,14-Nov,6,7
C,7,109.30,N,N,N,N,28-Dec,,
C,2,109.10,N,N,N,N,29-Nov,3.3,4.8
C,7,108.20,N,N,N,N,30-Nov,4.7,4.8
C,5,107.60,N,N,N,N,28-Dec,,
C,5,107.20,Y,N,N,N,2-Dec,,
C,5,106.20,N,N,Y,N,2-Dec,6.5,
C,5,105.10,Y,N,N,N,2-Dec,,
C,5,104.30,N,N,Y,N,25-Dec,,
C,2,103.80,N,N,N,N,8-Nov,6.8,6.7
C,1,101.70,N,N,N,N,15-Dec,,
C,1,101.60,N,N,N,N,29-Nov,6.3,6.3
C,5,101.60,N,N,Y,N,25-Dec,,
C,3,101.60,N,N,N,N,28-Dec,,
C,5,101.10,N,N,N,N,25-Dec,,
C,1,101.00,Y,N,N,N,15-Dec,,
C,8,100.70,Y,N,N,N,28-Oct,,
C,6,100.60,N,N,N,N,2-Dec,6.3,6.1
C,5,100.00,Y,N,N,N,15-Dec,,
C,1,99.90,N,N,N,N,25-Dec,,
C,7,99.70,N,N,N,N,28-Dec,,
C,4,99.30,N,N,N,N,25-Dec,,
C,3,99.20,N,N,Y,N,8-Nov,5.1,5.7
C,7,98.80,N,N,N,N,30-Nov,4.2,4.9
C,8,98.10,N,N,Y,N,14-Nov,5.5,5.4
